X1,X2,X3,X4,Y
10.037362022414028,5.999389621250871,10061.0873,-2157.1115,7915.93
10.013456689706139,5.995233677609022,,-1880.475,4214.01
9.90487739792431,5.999838773492864,12557.9574,-1982.1133,10591.09
9.916032599557244,5.999939021344312,11138.8009,,
10.19340476365538,,13319.5294,,11507.22
,,10270.8576,-2380.3971,7878.36
10.02314939640006,5.997858842848517,8063.1215,-2172.8454,6054.25
9.94091154362128,,13031.2161,-1958.5311,11206.98
9.867475341122349,5.99989643023357,7953.8907,-1864.1813,6150.59
9.94899850873085,5.995261209771256,13041.82,-1895.7659,11192.55
,5.997992116838968,13220.866,-2095.4711,10964.51
,5.995335718609322,10487.8597,-1976.3409,8506.92
10.011632599303324,5.99923119185243,10772.3286,-1867.9866,8888.38
10.015970800713399,5.999982280255715,10355.4722,-1860.1393,8505.68
9.967263266439039,5.999984207259792,11212.7926,-2149.998,8941.14
9.913408503638976,,10980.3244,-2069.0296,8847.54
10.078468846304398,,9950.7882,-2031.8421,7821.8
10.213265503274775,5.994818780439152,8171.027,-1750.7973,6341.79
9.88776812742645,5.998262304466004,8674.2366,-1974.5986,6562.65
10.11977825951476,5.9997009133603205,8772.5047,-2180.8555,6493.55
9.895226707363486,5.993433916327471,,-1853.8973,
9.953307592070718,5.995595311168492,10768.5739,-1912.5031,8761.22
10.065240533942301,5.9965995882691105,7344.7855,-1883.8091,5433.65
10.13176742170282,5.9996950878686945,9428.2674,,7046.49
10.137945070882907,5.997766065987216,7085.6518,-1862.0522,5158.48
10.169044390981446,5.980885752856095,10863.4396,-1856.2956,9050.32
10.009883872243199,,9032.365,-1986.3383,
10.00982800150088,,10433.5207,-1691.7959,8666.5
9.894569708464976,5.998820653353029,9514.171,-2250.135,7288.21
9.97950620189912,5.999998473789571,11239.343,-1730.2371,9499.13
9.964396497543452,5.999042670170939,8656.9473,-1809.0319,6752.65
10.054917004503409,,9833.3518,-1991.0842,7837.54
9.89669267409107,5.993753841055747,10234.0159,-1748.4534,8541.39
9.902905600088918,5.9984296543186035,8853.4085,-2045.3276,6869.15
10.140608957439241,5.993837873292773,8502.1672,-1923.4597,6525.04
9.8663121846361,5.9992781018099555,10037.1805,-1929.081,7986.19
9.97633567109654,5.999907667816736,8764.885,-1571.7914,7107.27
10.025500352781064,5.996543893344262,,-2067.1353,
10.02399357515817,5.9984947264107475,9613.5402,-1859.34,7839.5
9.847715016352222,5.99999993171517,10079.5032,-2232.6466,7957.64
10.033968536403764,5.983535890529315,13501.7932,,11364.54
10.0868400852951,5.986929493649978,,-2248.1655,7617.05
9.936336835971396,5.999307167508714,11400.2979,-1739.879,
10.245368588520744,5.987320294366664,12976.6783,-2208.0191,10797.97
9.80599098143037,5.982211002580057,8825.0027,-2259.4137,6626.28
10.08752902599966,5.988583816640083,12495.4416,-1716.3358,10973.28
10.023053971119113,5.990126636345593,7269.7946,-2095.0803,5114.8
9.917507729743017,5.999922294115914,14426.3965,,
9.862749479732983,5.999103439614059,,-2150.6882,3564.96
9.968577533229595,5.993549535392985,7794.2085,-2130.6953,5425.32
10.034542428149354,5.980597861377569,6628.2786,-2109.4016,4443.61
10.01758494816017,5.996242912116256,10090.9994,-1942.1796,8202.09
,5.999389536307158,14883.6833,-2081.2719,12767.34
9.884626260495235,5.9872559260060365,,-1938.6643,8563.24
